old_name,text,new_name
btn_delete,del,btns_del
btn_equals,=,btno_equal
btn_open_paren,(,btno_open_paren
btn_sin,sin,btnf_sin
btn_plus_minus,+/-,btno_sign
btn_1,1,btnn_1
btn_log10,log₁₀,btnf_log10
btn_x_factorial,x!,btnf_fact
btn_decimal,.,btnn_dot
btn_3,3,btnn_3
btn_ee,EE,btnf_EE
btn_pi,π,btnf_pi
btn_m_minus,m-,btns_mminus
btn_cosh,cosh,btnf_cosh
btn_x_squared,x²,btnf_pow2
btn_2_root_x,2√x,btnf_sqrt2
btn_tan,tan,btnf_tan
btn_10_power_x,10^x,btnf_10pow
btn_7,7,btnn_7
btn_divide,/,btno_div
btn_close_paren,),btno_close_paren
btn_m_plus,m+,btns_mplus
btn_8,8,btnn_8
btn_ac,AC,btns_ac
btn_mr,mr,btns_mr
btn_percent,%,btno_percent
btn_2,2,btnn_2
btn_y_root_x,y√x,btnf_yrootx
btn_3_root_x,3√x,btnf_sqrt3
btn_e,e,btnf_e
btn_x_power_y,x^y,btnf_pow_y
btn_mc,mc,btns_mc
btn_rand,Rand,btns_rand
btn_4,4,btnn_4
btn_0,0,btnn_0
btn_9,9,btnn_9
btn_minus,-,btno_minus
btn_2nd,2nd,btns_2nd
btn_e_power_x,e^x,btnf_ex
btn_ln,ln,btnf_ln
btn_x_cubed,x³,btnf_pow3
btn_cos,cos,btnf_cos
btn_plus,+,btno_plus
btn_multiply,x,btno_mul
btn_6,6,btnn_6
btn_5,5,btnn_5
btn_tanh,tanh,btnf_tanh
btn_sinh,sinh,btnf_sinh
btn_1_over_x,1/x,btnf_invx
btn_rad,Rad,btno_rad
