음성 파일내에서의 시간,인식된 텍스트
20251018-224853,안녕하세요
20251018-224921,김동조
20251018-224943,코디 세이 파이썬
20251018-224959,코디스
20251018-225018,코디 세일 파이썬
20251018-225319,파이썬 딥러닝 공부
20251018-225459,서울시 새싹 교육 기간
20251019-061832,마이크 테스트
20251019-061904,사운드 레코그니션
20251019-063118,녹음 테스트
20251019-063541,음성 인식 자비스 파이썬
20251019-064220,판다스 정렬 파이썬
20251019-064410,애플 IBM 키보드
20251019-064648,미국 한국 영국 중국
20251019-064818,레프트 라이트 center
20251019-064935,키워드 검색 자비스 음성 인식
20251019-065251,테슬라 자율주행
20251019-065650,서울 대전 부산 경주 마산
20251019-065717,안녕하세요
20251019-065729,안녕하세요 구글입니다
20251019-065921,칼럼로 판다스 파이썬
20251019-070012,1 2 3 4
20251019-070305,abcdef
20251019-070355,녹음을 시작합니다 말씀하세요
20251019-070446,녹음을 테스트합니다 말씀하세요 엔터키를
20251019-070521,녹음을 시작합니다 말씀하세요
20251019-071054,5초 동안 녹음을 시작하려면 엔터키를
20251019-071243,인덕션 출력을 하고 싶습니다 천천히
20251019-071429,녹음 테스트 하고 있습니다
20251019-071707,녹음을 시작합니다 엔터키를 누르세요
20251019-071810,큐를 누르면 프로그램이 종료됩니다
