연도,15~19세,15~64세,15세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,65세이상,70~74세,75~79세,80~84세,85세이상,합계
2015,5670826,70083986,13777230,5527444,5944874,7140492,7530018,8389038,8485238,8238362,7674286,5483408,4207348,12817902,3485092,2655694,1546708,923060,96679118
2016,5430810,70378900,13506152,5593146,6040326,6789764,7682070,8033358,8701304,8018884,8102928,5986310,4335472,13217644,3439550,2778352,1678316,985954,97102696
2017,5146408,70222416,13227766,5501480,6218248,6420716,7797330,7808120,8772094,7962374,8283438,6312208,4533222,13779632,3452280,2997558,1767350,1029222,97229814
2018,4820648,70118948,12931884,5444456,6408732,6153250,7825666,7533590,8692504,8105194,8375346,6759562,4637608,14279012,3593212,3073860,1876074,1098258,97329844
2019,4524240,69825528,12593296,5352254,6569438,6046964,7579352,7397588,8579572,8338784,8280380,7156956,4860976,14929530,3776278,3089832,2002348,1200096,97348354
2020,4417504,70020460,12319444,5580930,6760114,6084182,7206550,7507292,8360140,8446016,8128754,7528978,5320020,15717550,3960150,3081740,2064094,1291546,98057454
2021,4180092,69588650,11983426,5341198,6801404,6182084,6848420,7665928,8004306,8672292,7916710,7976216,5804696,16554986,4084308,3059980,2184734,1421268,98127062
2022,4069452,68762104,11522842,4852102,6680364,6372886,6459640,7780424,7784386,8742726,7885156,8134968,6132272,17484346,4290236,3103680,2403294,1554864,97769292
2023,4083358,68309856,11053294,4612138,6538600,6562296,6199066,7815436,7520642,8673612,8042736,8261972,6571470,18377846,4405582,3248660,2481234,1670900,97740996
2024,4106600,67586704,10646768,4341898,6331338,6705776,6099006,7570598,7389812,8568910,8295516,8177250,6984116,19333000,4627188,3426444,2501494,1793758,97566472
