"동별(1)",동별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"동별(1)",동별(2),총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구
"동별(1)",동별(2),소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계
"동별(1)",동별(2),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자
"합계",소계,3914820,9904312,4859535,5044777,3784490,9394807,4555632,4839175,1489,16753,8471,8282,772,82267,36754,45513,128069,262718,131533,131185,3915023,9805506,4799115,5006391,3784705,9315075,4510141,4804934,1053,9226,5465,3761,764,87083,37908,49175,128501,255736,127011,128725,3948850,9741871,4757642,4984229,3813260,9239517,4468616,4770901,1429,12754,7052,5702,817,95491,41001,54490,133344,258259,125955,132304,3981741,9673936,4718972,4954964,3839766,9148012,4418569,4729443,1760,15318,8115,7203,803,99925,43069,56856,139412,269561,133112,136449,4043957,9639541,4690440,4949101,3896389,9096901,4386287,4710614,1587,14042,7630,6412,741,103809,43200,60609,145240,272049,133019,139030,4126524,9586195,4647733,4938462,3982290,9098805,4376850,4721955,1479,13447,7459,5988,785,79188,33026,46162,141970,264013,129752,134261,4191171,9472127,4584251,4887876,4046799,9009126,4334563,4674563,1611,14121,7009,7112,843,85502,34535,50967,141918,253225,123670,129555,4252134,9417469,4547051,4870418,4098818,8942201,4295120,4647081,1621,15103,7576,7527,802,88288,35214,53074,150893,261942,124712,137230,4298420,9384512,4523958,4860554,4141659,8908911,4275873,4633038,1573,14557,7266,7291,819,92148,37227,54921,154369,263739,124421,139318,4319073,9335444,4491757,4843687,4159502,8853147,4242944,4610203,1559,14588,7349,7239,883,96732,38361,58371,157129,267935,125103,142832
"합계",종로구,68429,161521,79510,82011,61580,140595,68165,72430,72,633,316,317,34,4128,2164,1964,6743,12521,6166,6355,65022,154398,75620,78778,60786,137889,66610,71279,58,495,306,189,52,5315,2881,2434,4126,7263,3238,4025,66711,157277,76670,80607,62372,140074,67612,72462,74,616,387,229,50,5540,2894,2646,4215,7576,3187,4389,68180,157967,77147,80820,63773,139871,67611,72260,70,578,356,222,53,5854,2992,2862,4284,7723,3365,4358,67650,154969,74880,80089,62652,136649,65594,71055,72,640,433,207,41,4854,2391,2463,4885,8291,3439,4852,68069,151291,73062,78229,63414,135582,65104,70478,68,585,399,186,47,3742,1799,1943,4540,7573,3414,4159,68541,148857,71367,77490,63984,133567,64074,69493,61,512,343,169,48,4170,1798,2372,4448,7275,3145,4130,69831,147512,70318,77194,64422,131437,62684,68753,66,582,319,263,53,3911,1992,1919,5290,8329,3362,4967,70217,146179,69579,76600,64507,129548,61912,67636,56,488,250,238,54,4327,2037,2290,5600,8434,3417,5017,70241,144486,68604,75882,64643,128487,61206,67281,57,498,282,216,50,3782,1572,2210,5491,8452,3612,4840
"합계",중구,55508,128478,63218,65260,51205,114967,56336,58631,46,487,266,221,18,2028,603,1425,4239,8290,3932,4358,55554,128160,62514,65646,51503,114614,55834,58780,56,490,304,186,22,2855,858,1997,3973,7568,3529,4039,56239,127896,62195,65701,52208,114557,55609,58948,66,597,361,236,23,2575,810,1765,3942,7478,3429,4049,57318,129797,62975,66822,53102,115016,55653,59363,73,647,373,274,32,3115,1107,2008,4111,7846,3592,4254,59440,130957,63406,67551,54496,115665,55820,59845,76,690,375,315,22,2328,713,1615,4846,8526,3982,4544,59817,128744,62147,66597,55093,115067,55343,59724,75,688,409,279,21,1758,551,1207,4628,8150,3876,4274,61073,126310,60657,65653,56116,113586,54479,59107,58,506,289,217,22,1385,371,1014,4877,8202,3875,4327,61620,125257,59795,65462,56260,111917,53592,58325,62,599,376,223,19,1479,301,1178,5279,8616,3876,4740,64325,127576,60980,66596,59265,114165,54695,59470,56,496,285,211,17,2191,693,1498,4987,8077,3682,4395,64816,126899,60550,66349,59849,113834,54382,59452,73,658,359,299,20,1937,606,1331,4874,7898,3609,4289
"합계",용산구,96385,227282,109980,117302,90313,208603,99564,109039,45,485,245,240,23,1704,472,1232,6004,11410,5925,5485,96097,224993,108520,116473,90164,206719,98443,108276,32,274,116,158,33,2264,824,1440,5868,11194,5720,5474,96975,223898,108471,115427,91102,204962,97634,107328,56,478,238,240,29,2359,931,1428,5788,11287,5954,5333,98580,226938,110685,116253,92500,205347,97872,107475,57,467,256,211,38,3202,1536,1666,5985,11315,6203,5112,99777,227181,110934,116247,93177,204196,97390,106806,53,428,234,194,27,2387,889,1498,6520,11781,6536,5245,101431,225882,109162,116720,95714,207039,98396,108643,66,550,318,232,23,1550,598,952,5628,10690,5889,4801,102638,221688,106910,114778,96989,204104,97102,107002,66,523,306,217,25,1418,485,933,5558,10239,5556,4683,103974,219289,105474,113815,98483,202679,96149,106530,55,461,242,219,24,1247,497,750,5412,9678,5238,4440,103826,214791,102923,111868,98322,199442,94573,104869,47,403,208,195,26,1820,475,1345,5431,9391,5040,4351,98398,203401,97246,106155,93491,189119,89579,99540,47,389,226,163,21,1860,502,1358,4839,8538,4467,4071
"합계",성동구,118900,295006,146332,148674,114719,279939,136888,143051,57,684,319,365,18,2468,1562,906,4106,7282,3689,3593,120625,294744,145935,148809,116401,280447,137123,143324,40,314,198,116,15,2350,1377,973,4169,7228,3573,3655,125421,302367,149060,153307,120957,287387,140138,147249,58,495,260,235,17,2785,1541,1244,4389,7460,3587,3873,128602,306796,150623,156173,123963,290667,141052,149615,59,503,244,259,19,3174,1868,1306,4561,7719,3642,4077,127557,299688,146630,153058,122770,283330,137125,146205,64,529,280,249,15,3106,1774,1332,4708,7557,3480,4077,126658,291918,142128,149790,122186,277120,133829,143291,48,383,174,209,21,3054,1646,1408,4403,7015,3218,3797,127440,286469,139181,147288,122756,271868,131302,140566,58,445,213,232,17,3546,1860,1686,4609,7012,3148,3864,127790,282131,136734,145397,122873,267408,128938,138470,60,454,222,232,16,3418,1718,1700,4841,7219,3187,4032,127950,277683,134488,143195,123124,263868,127131,136737,52,420,212,208,18,3068,1656,1412,4756,6897,3028,3869,127631,274688,132827,141861,122894,260907,125517,135390,48,389,193,196,17,3319,1768,1551,4672,6797,2986,3811
